Description,File,Variable,Year
Lead (ug/dL),PBCD_D.htm,LBXBPB,2005-2006
Lead (umol/L),PBCD_D.htm,LBDBPBSI,2005-2006
Leak urine during nonphysical activities,KIQ_U_C.htm,KIQ046,2003-2004
Leak urine during physical activities,KIQ_U_C.htm,KIQ042,2003-2004
Left - Zone 1,OHX_D.htm,OHXFCLZ1,2005-2006
Left - Zone 2,OHX_D.htm,OHXFCLZ2,2005-2006
Left - Zone 3,OHX_D.htm,OHXFCLZ3,2005-2006
Left - Zone 4,OHX_D.htm,OHXFCLZ4,2005-2006
Left - Zone 5,OHX_D.htm,OHXFCLZ5,2005-2006
Left - Zone 6,OHX_D.htm,OHXFCLZ6,2005-2006
Left - Zone 7,OHX_D.htm,OHXFCLZ7,2005-2006
Left - Zone 8,OHX_D.htm,OHXFCLZ8,2005-2006
Left ABPI,LEXAB_C.htm,LEXLABPI,2003-2004
Left Foot - Number of insensate areas,LEXPN_C.htm,LEALPN,2003-2004
Left Mean Posterior Tibial SBP (mm Hg),LEXAB_C.htm,LEXLPTSM,2003-2004
Left PT pulse detected?,LEXAB_C.htm,LEALPTPD,2003-2004
Left Posterior Tibial SBP 1 (mm Hg),LEXAB_C.htm,LEXLPTS1,2003-2004
Left Posterior Tibial SBP 2 (mm Hg),LEXAB_C.htm,LEXLPTS2,2003-2004
Left amputation,LEXPN_C.htm,LEALAMP,2003-2004
Left ankle SBP > 255 mm Hg?,LEXAB_C.htm,LEALAPNC,2003-2004
Left bunions,LEXPN_C.htm,LEALBUN,2003-2004
"Left halux comments, test 1",LEXPN_C.htm,LEALHAC1,2003-2004
"Left halux comments, test 2",LEXPN_C.htm,LEALHAC2,2003-2004
"Left halux comments, test 3",LEXPN_C.htm,LEALHAC3,2003-2004
"Left halux, test 1",LEXPN_C.htm,LEXLHAL1,2003-2004
"Left halux, test 2",LEXPN_C.htm,LEXLHAL2,2003-2004
"Left halux, test 3",LEXPN_C.htm,LEXLHAL3,2003-2004
Left lesion,LEXPN_C.htm,LEALLES,2003-2004
Left lesion site,LEXPN_C.htm,LEALLESS,2003-2004
"Left metatarsal 1 comment, test 1",LEXPN_C.htm,LEALM1C1,2003-2004
"Left metatarsal 1 comment, test 2",LEXPN_C.htm,LEALM1C2,2003-2004
"Left metatarsal 1 comment, test 3",LEXPN_C.htm,LEALM1C3,2003-2004
"Left metatarsal 5 comment, test 1",LEXPN_C.htm,LEALM5C1,2003-2004
"Left metatarsal 5 comment, test 2",LEXPN_C.htm,LEALM5C2,2003-2004
"Left metatarsal 5 comment, test 3",LEXPN_C.htm,LEALM5C3,2003-2004
"Left metatarsal head 1, test 1",LEXPN_C.htm,LEXLMH11,2003-2004
"Left metatarsal head 1, test 2",LEXPN_C.htm,LEXLMH12,2003-2004
"Left metatarsal head 1, test 3",LEXPN_C.htm,LEXLMH13,2003-2004
"Left metatarsal head 5, test 1",LEXPN_C.htm,LEXLMH51,2003-2004
"Left metatarsal head 5, test 2",LEXPN_C.htm,LEXLMH52,2003-2004
"Left metatarsal head 5, test 3",LEXPN_C.htm,LEXLMH53,2003-2004
Leisure activity at home difficulty,PFQ_C.htm,PFQ061S,2003-2004
Leisure time activity,PAQIAF_C.htm,PADACTIV,2003-2004
Length,SMQ_C.htm,SMD100LN,2003-2004
Length of CV fitness exam (min),CVX_C.htm,CVDEXLEN,2003-2004
Lifting or carrying difficulty,PFQ_C.htm,PFQ061E,2003-2004
"Like to weigh more, less or same",WHQ_C.htm,WHQ040,2003-2004
Limit usual activities due to wheezing,RDQ_C.htm,RDQ135,2003-2004
Limitations keeping you from working,PFQ_C.htm,PFQ049,2003-2004
Limited in amount of work you can do,PFQ_C.htm,PFQ051,2003-2004
Lingual surface code for erosion,OHXADD_C.htm,OHX08ESL,2003-2004
Long term care facility,HUQ_C.htm,HUQ088b,2003-2004
Long term impairment/health problem,PFQ_C.htm,PFQ030,2003-2004
Longest no. weeks in row attack,CIQPAN_C.htm,CIQP52,2003-2004
Lose ability to enjoy good things?,CIQDEP_C.htm,CIQD031,2003-2004
Loss of interest duration,CIQDEP_C.htm,CIQD010,2003-2004
Loss of interest frequency,CIQDEP_C.htm,CIQD009,2003-2004
"Lung or breathing problems, days",PFQ_C.htm,PFD069K,2003-2004
Lutein + zeaxanthin (mcg),DR2TOT_D.htm,DR2TLZ,2005-2006
Lycopene (mcg),DR2TOT_D.htm,DR2TLYCO,2005-2006
Lymphocyte number (1000 cells/uL),CBC_D.htm,LBDLYMNO,2005-2006
Lymphocyte percent (%),CBC_D.htm,LBXLYPCT,2005-2006
MCHC (g/dL),CBC_D.htm,LBXMC,2005-2006
MET score for activity,PAQIAF_C.htm,PADMETS,2003-2004
MFA 16:1 (Hexadecenoic) (gm),DR2TOT_D.htm,DR2TM161,2005-2006
MFA 18:1 (Octadecenoic) (gm),DR2TOT_D.htm,DR2TM181,2005-2006
MFA 20:1 (Eicosenoic) (gm),DR2TOT_D.htm,DR2TM201,2005-2006
MFA 22:1 (Docosenoic) (gm),DR2TOT_D.htm,DR2TM221,2005-2006
MIL: maximum inflation levels (mm Hg),BPX_C.htm,BPXML1,2003-2004
Magnesium (mg),DR2TOT_D.htm,DR2TMAGN,2005-2006
Main respondent for this interview,DR2TOT_D.htm,DR2MNRSP,2005-2006
Managing money difficulty,PFQ_C.htm,PFQ061A,2003-2004
Maximal Calf Circumference (cm),BMX_C.htm,BMXCALF,2003-2004
Maximal Calf Comment,BMX_C.htm,BMICALF,2003-2004
Maximal incisal opening (mm),OHXADD_C.htm,OHXMAXIN,2003-2004
May I please see the pack of cigarettes,SMQ_C.htm,SMD093,2003-2004
Mean Brachial SBP (mm Hg),LEXAB_C.htm,LEXBRPM,2003-2004
Mean cell hemoglobin (pg),CBC_D.htm,LBXMCHSI,2005-2006
Mean cell volume (fL),CBC_D.htm,LBXMCVSI,2005-2006
Mean platelet volume (fL),CBC_D.htm,LBXMPSI,2005-2006
"Mental retardation condition, days",PFQ_C.htm,PFD069L,2003-2004
Menthol indicator,SMQ_C.htm,SMD100MN,2003-2004
Menthol or non-menthol BensonHedges,SMQ_D.htm,SMQ664B,2005-2006
Menthol or non-menthol Camels,SMQ_D.htm,SMQ664C,2005-2006
Menthol or non-menthol Marlboro,SMQ_D.htm,SMQ664M,2005-2006
Menthol or non-menthol Winston,SMQ_D.htm,SMQ664W,2005-2006
Menthol or non-menthol other brand,SMQ_D.htm,SMQ664O,2005-2006
"Mercury, total (ug/L)",PBCD_D.htm,LBXTHG,2005-2006
"Mercury, total (umol/L )",PBCD_D.htm,LBDTHGSI,2005-2006
"Mercury, total comment code",PBCD_D.htm,LBDTHGLC,2005-2006
Mesh vest used,CVX_C.htm,CVAVEST,2003-2004
Methyl paraben (ng/ml),EPH_D.htm,URXMPB,2005-2006
Methyl paraben comment,EPH_D.htm,URDMPBLC,2005-2006
Minute of the Hour,PAXRAW_C.htm,PAXMINUT,2003-2004
Miss work or school due to wheezing,RDQ_C.htm,RDQ137,2003-2004
Missing teeth,OHXREF_C.htm,OHQ490i,2003-2004
Moderate activity over past 30 days,PAQ_C.htm,PAD320,2003-2004
Moisture (gm),DR2TOT_D.htm,DR2TMOIS,2005-2006
Monocyte number (1000 cells/uL),CBC_D.htm,LBDMONO,2005-2006
Monocyte percent (%),CBC_D.htm,LBXMOPCT,2005-2006
"Month worried, tense, anxious(WTA)?",CIQGAD_C.htm,CIQG01,2003-2004
Mother was told had osteoporosis,OSQ_D.htm,OSQ160a,2005-2006
Mother's country of birth,ACQ_C.htm,ACD080,2003-2004
Muscle strengthening activities,PAQ_C.htm,PAD440,2003-2004
Must always take antibiotics?,OHXREF_C.htm,OHQ131,2003-2004
Nausea or discomfort in stomach?,CIQPAN_C.htm,CIQP13H,2003-2004
Need special equipment to walk,PFQ_C.htm,PFQ054,2003-2004
Niacin (mg),DR2TOT_D.htm,DR2TNIAC,2005-2006
No coverage of any type,HIQ_D.htm,HIQ031AA,2005-2006
No significant needs,OHXREF_C.htm,OHARNF,2003-2004
No. attacks lifetime out of the blue,CIQPAN_C.htm,CIQP32,2003-2004
No. attacks lifetime real danger,CIQPAN_C.htm,CIQP40,2003-2004
No. attacks lifetime strong fear,CIQPAN_C.htm,CIQP36,2003-2004
No. attacks past 12 months,CIQPAN_C.htm,CIQP42,2003-2004
No. attacks past 12 months?,CIQPAN_C.htm,CIQP34,2003-2004
No. attacks w/symptoms in lifetime?,CIQPAN_C.htm,CIQP14,2003-2004
No. days cutback amount/quality,CIQDEP_C.htm,CIQD099,2003-2004
No. days cutback past 4 weeks,CIQDEP_C.htm,CIQD102,2003-2004
No. days extreme effort to work,CIQDEP_C.htm,CIQD103,2003-2004
No. days extreme past 4 weeks,CIQDEP_C.htm,CIQD105,2003-2004
No. days interfere past 4 weeks,CIQDEP_C.htm,CIQD108,2003-2004
No. days interfere personal life,CIQDEP_C.htm,CIQD106,2003-2004
No. days totally past 4 weeks,CIQDEP_C.htm,CIQD098,2003-2004
No. days totally unable work,CIQDEP_C.htm,CIQD096,2003-2004
"No. months worried, tense, anxious?",CIQGAD_C.htm,CIQG03,2003-2004
No. weeks SED... past 12 mos?,CIQDEP_C.htm,CIQD051,2003-2004
Non SP HH member in care fac overnight,HUQ_C.htm,HUQ086,2003-2004
None/no specific problem,OHXREF_C.htm,OHQ490m,2003-2004
Now controlling weight,BPQ_C.htm,BPQ050B,2003-2004
Now eating fewer high fat foods,BPQ_C.htm,BPQ100A,2003-2004
Now exercising more,BPQ_C.htm,BPQ050D,2003-2004
Now increasing exercise,BPQ_C.htm,BPQ100C,2003-2004
Now reducing alcohol consumption,BPQ_C.htm,BPQ050E,2003-2004
Now reducing salt/sodium,BPQ_C.htm,BPQ050C,2003-2004
Now taking prescribed medicine,BPQ_C.htm,BPQ050A,2003-2004
Number of days of intake,DR2TOT_D.htm,DRDINT,2005-2006
Number of foods reported,DR2TOT_D.htm,DR2TNUMF,2005-2006
Number of times past 30 days,PAQ_C.htm,PAD460,2003-2004
Number of weeks before end?,CIQDEP_C.htm,CIQD065,2003-2004
Nutritionist,WHQ_D.htm,WHQ280C,2005-2006
Occlusal surface code for erosion,OHXADD_C.htm,OHX03ESO,2003-2004
Order in which CIDI modules are asked,CIQDEP_C.htm,CIAORDER,2003-2004
Osmolality (mmol/Kg),L40_C.htm,LBXSOSSI,2003-2004
Other,OHXREF_C.htm,OHQ490n,2003-2004
Other Referral Comments,OHXREF_C.htm,OHARCMT,2003-2004
"Other development problems, days",PFQ_C.htm,PFD069E,2003-2004
Other health professional,WHQ_D.htm,WHQ280E,2005-2006
"Other impairment problems, days",PFQ_C.htm,PFD069R,2003-2004
"Other injury problems, days",PFQ_C.htm,PFD069M,2003-2004
Other language(s) usually spoken at home,ACQ_C.htm,ACD010C,2003-2004
Out of the blue attack past 12 months?,CIQPAN_C.htm,CIQP33,2003-2004
Over or under 50 years old?,OSQ_D.htm,OSQ190,2005-2006
Overall Oral Health Exam Status,OHXADD_C.htm,OHAEXSTS,2003-2004
Overall recommendation for care,OHXREF_C.htm,OHAREC,2003-2004
Overnight hospital patient in last year,HUQ_C.htm,HUQ071,2003-2004
Overnite hospital patient in last year,HUQ_D.htm,HUQ071,2005-2006
PFA 18:2 (Octadecadienoic) (gm),DR2TOT_D.htm,DR2TP182,2005-2006
PFA 18:3 (Octadecatrienoic) (gm),DR2TOT_D.htm,DR2TP183,2005-2006
PFA 18:4 (Octadecatetraenoic) (gm),DR2TOT_D.htm,DR2TP184,2005-2006
PFA 20:4 (Eicosatetraenoic) (gm),DR2TOT_D.htm,DR2TP204,2005-2006
PFA 20:5 (Eicosapentaenoic) (gm),DR2TOT_D.htm,DR2TP205,2005-2006
PFA 22:5 (Docosapentaenoic) (gm),DR2TOT_D.htm,DR2TP225,2005-2006
PFA 22:6 (Docosahexaenoic) (gm),DR2TOT_D.htm,DR2TP226,2005-2006
PN Section Comment,LEXPN_C.htm,LEDSCCT1,2003-2004
Pain in epigastric area,CDQ_C.htm,CDQ009H,2003-2004
Pain in left arm,CDQ_C.htm,CDQ009G,2003-2004
Pain in left chest,CDQ_C.htm,CDQ009F,2003-2004
Pain in lower sternum,CDQ_C.htm,CDQ009E,2003-2004
Pain in neck,CDQ_C.htm,CDQ009C,2003-2004
Pain in right arm,CDQ_C.htm,CDQ009A,2003-2004
Pain in right chest,CDQ_C.htm,CDQ009B,2003-2004
Pain in upper sternum,CDQ_C.htm,CDQ009D,2003-2004
Pain or discomfort in chest?,CIQPAN_C.htm,CIQP13G,2003-2004
Panic Score,CIQPAN_C.htm,CIDPSCOR,2003-2004
Panic attack past 12 months?,CIQPAN_C.htm,CIQP03,2003-2004
Parathyroid Hormone(Elecys method) pg/mL,L11_C.htm,LBXPT21,2003-2004
Parents ever told had osteoporosis?,OSQ_D.htm,OSQ150,2005-2006
Past 12 months no. weeks attack,CIQPAN_C.htm,CIQP50,2003-2004
"Past 12 mos, attacks lead to terrible?",CIQPAN_C.htm,CIQP08,2003-2004
"Past 12 mos, avoided situations bc fear?",CIQPAN_C.htm,CIQP04,2003-2004
"Past 12 mos, month + fear another?",CIQPAN_C.htm,CIQP06,2003-2004
Past 12 mos. 2 weeks lost interest?,CIQDEP_C.htm,CIQD008,2003-2004
Past 30 day milk product consumption,DBQ_D.htm,DBQ197,2005-2006
Past year how many times seen doctor,DIQ_D.htm,DID250,2005-2006
Past year times Dr check feet for sores,DIQ_D.htm,DID340,2005-2006
Past year times checked for A1C,DIQ_D.htm,DID270,2005-2006
Past yr told control weight,DIQ_D.htm,DIQ190A,2005-2006
Past yr told increase physical activity,DIQ_D.htm,DIQ190B,2005-2006
Past yr told reduce fat/calories in diet,DIQ_D.htm,DIQ190C,2005-2006
Periodontal Status Code,OHXPRL_C.htm,OHASCST4,2003-2004
Periodontal needs,OHXREF_C.htm,OHAROCGP,2003-2004
Periodontal problems,OHXREF_C.htm,OHQ490k,2003-2004
Personal trainer,WHQ_D.htm,WHQ280A,2005-2006
Phosphorus (mg),DR2TOT_D.htm,DR2TPHOS,2005-2006
Phosphorus (mg/dL),L40_C.htm,LBXSPH,2003-2004
Phosphorus (mmol/L),L40_C.htm,LBDSPHSI,2003-2004
Physical activity readiness code,CVX_C.htm,CVXPARC,2003-2004
"Physical, mental, emotional limitations",PFQ_C.htm,PFQ059,2003-2004
"Physical,mental,emotional limitations",PFQ_C.htm,PFQ010,2003-2004
Platelet count SI (1000 cells/uL),CBC_D.htm,LBXPLTSI,2005-2006
Posterior Left  FOC Zone 1,OHXADD_C.htm,OHXFCLZ1,2003-2004
Posterior Left  FOC Zone 2,OHXADD_C.htm,OHXFCLZ2,2003-2004
Posterior Left  FOC Zone 3,OHXADD_C.htm,OHXFCLZ3,2003-2004
Posterior Left  FOC Zone 4,OHXADD_C.htm,OHXFCLZ4,2003-2004
Posterior Left  FOC Zone 5,OHXADD_C.htm,OHXFCLZ5,2003-2004
Posterior Left  FOC Zone 6,OHXADD_C.htm,OHXFCLZ6,2003-2004
Posterior Left  FOC Zone 7,OHXADD_C.htm,OHXFCLZ7,2003-2004
Posterior Left  FOC Zone 8,OHXADD_C.htm,OHXFCLZ8,2003-2004
Posterior Right FOC Zone 1,OHXADD_C.htm,OHXFCRZ1,2003-2004
Posterior Right FOC Zone 2,OHXADD_C.htm,OHXFCRZ2,2003-2004
Posterior Right FOC Zone 3,OHXADD_C.htm,OHXFCRZ3,2003-2004
Posterior Right FOC Zone 4,OHXADD_C.htm,OHXFCRZ4,2003-2004
Posterior Right FOC Zone 5,OHXADD_C.htm,OHXFCRZ5,2003-2004
Posterior Right FOC Zone 6,OHXADD_C.htm,OHXFCRZ6,2003-2004
Posterior Right FOC Zone 7,OHXADD_C.htm,OHXFCRZ7,2003-2004
Posterior Right FOC Zone 8,OHXADD_C.htm,OHXFCRZ8,2003-2004
Potassium (mg),DR2TOT_D.htm,DR2TPOTA,2005-2006
Potassium (mmol/L),L40_C.htm,LBXSKSI,2003-2004
Predicted VO2max (ml/kg/min),CVX_C.htm,CVDVOMAX,2003-2004
Predicted maximal heart rate (per min),CVX_C.htm,CVDPMHR,2003-2004
Preparing meals difficulty,PFQ_C.htm,PFQ061G,2003-2004
"Priority 2 Stop, equipment failure",CVX_C.htm,CVQ220i,2003-2004
"Priority 2 Stop, excessive BP",CVX_C.htm,CVQ220c,2003-2004
"Priority 2 Stop, excessive HR in stage 1",CVX_C.htm,CVQ220b,2003-2004
"Priority 2 Stop, excessive HR in stage 2",CVX_C.htm,CVQ220a,2003-2004
"Priority 2 Stop, other specified reasons",CVX_C.htm,CVQ220m,2003-2004
"Priority 2 Stop, participant grips rails",CVX_C.htm,CVQ220j,2003-2004
"Priority 2 Stop, participant overexerted",CVX_C.htm,CVQ220k,2003-2004
"Priority 2 Stop, participant request",CVX_C.htm,CVQ220h,2003-2004
"Priority 2 Stop, significant drop in SBP",CVX_C.htm,CVQ220e,2003-2004
"Priority 2 Stop, technician discretion",CVX_C.htm,CVQ220l,2003-2004
"Priority 2 Stop, variability in HR",CVX_C.htm,CVQ220g,2003-2004
"Problems began suddenly, got worse?",CIQPAN_C.htm,CIQP15,2003-2004
Propyl paraben (ng/ml),EPH_D.htm,URXPPB,2005-2006
Propyl paraben comment,EPH_D.htm,URDPPBLC,2005-2006
Protein (gm),DR2TOT_D.htm,DR2TPROT,2005-2006
Protoporphyrin (umol/L RBC),EPP_D.htm,LBDEPPSI,2005-2006
Protoporphyrin(ug/dL RBC),EPP_D.htm,LBXEPP,2005-2006
Pulse regular or irregular?,BPX_C.htm,BPXPULS,2003-2004
Pulse type:,BPX_C.htm,BPXPTY,2003-2004
Push or pull large objects difficulty,PFQ_C.htm,PFQ061T,2003-2004
Quality of fit to Cole model,BIX_C.htm,BIDFIT,2003-2004
Questionnaire Mode Flag,SMQRTU_D.htm,SMAQUEX,2005-2006
Questionnaire source flag for weighting,PAQIAF_C.htm,PAAQUEX,2003-2004
Reaching up over head difficulty,PFQ_C.htm,PFQ061O,2003-2004
Reactance (Ohms) @ 1 MHz,BIX_C.htm,BIXC1M,2003-2004
Reactance (Ohms) @ 10 KHz,BIX_C.htm,BIXC010K,2003-2004
Reactance (Ohms) @ 100 KHz,BIX_C.htm,BIXC100K,2003-2004
Reactance (Ohms) @ 11 KHz,BIX_C.htm,BIXC011K,2003-2004
Reactance (Ohms) @ 115 KHz,BIX_C.htm,BIXC115K,2003-2004
Reactance (Ohms) @ 12 KHz,BIX_C.htm,BIXC012K,2003-2004
Reactance (Ohms) @ 128 KHz,BIX_C.htm,BIXC128K,2003-2004
Reactance (Ohms) @ 13 KHz,BIX_C.htm,BIXC013K,2003-2004
Reactance (Ohms) @ 14 KHz,BIX_C.htm,BIXC014K,2003-2004
Reactance (Ohms) @ 143 KHz,BIX_C.htm,BIXC143K,2003-2004
Reactance (Ohms) @ 15 KHz,BIX_C.htm,BIXC015K,2003-2004
Reactance (Ohms) @ 159 KHz,BIX_C.htm,BIXC159K,2003-2004
Reactance (Ohms) @ 16 KHz,BIX_C.htm,BIXC016K,2003-2004
Reactance (Ohms) @ 177 KHz,BIX_C.htm,BIXC177K,2003-2004
Reactance (Ohms) @ 18 KHz,BIX_C.htm,BIXC018K,2003-2004
Reactance (Ohms) @ 20 KHz,BIX_C.htm,BIXC020K,2003-2004
Reactance (Ohms) @ 200 KHz,BIX_C.htm,BIXC200K,2003-2004
Reactance (Ohms) @ 220 KHz,BIX_C.htm,BIXC220K,2003-2004
Reactance (Ohms) @ 23 KHz,BIX_C.htm,BIXC023K,2003-2004
Reactance (Ohms) @ 245 KHz,BIX_C.htm,BIXC245K,2003-2004
Reactance (Ohms) @ 25 KHz,BIX_C.htm,BIXC025K,2003-2004
Reactance (Ohms) @ 273 KHz,BIX_C.htm,BIXC273K,2003-2004
Reactance (Ohms) @ 28 KHz,BIX_C.htm,BIXC028K,2003-2004
Reactance (Ohms) @ 304 KHz,BIX_C.htm,BIXC304K,2003-2004
Reactance (Ohms) @ 31 KHz,BIX_C.htm,BIXC031K,2003-2004
Reactance (Ohms) @ 339 KHz,BIX_C.htm,BIXC339K,2003-2004
Reactance (Ohms) @ 35 KHz,BIX_C.htm,BIXC035K,2003-2004
Reactance (Ohms) @ 378 KHz,BIX_C.htm,BIXC378K,2003-2004
Reactance (Ohms) @ 39 KHz,BIX_C.htm,BIXC039K,2003-2004
Reactance (Ohms) @ 421 KHz,BIX_C.htm,BIXC421K,2003-2004
Reactance (Ohms) @ 43 KHz,BIX_C.htm,BIXC043K,2003-2004
Reactance (Ohms) @ 469 KHz,BIX_C.htm,BIXC469K,2003-2004
Reactance (Ohms) @ 5 KHz,BIX_C.htm,BIXC005K,2003-2004
Reactance (Ohms) @ 50 KHz,BIX_C.htm,BIXC050K,2003-2004
Reactance (Ohms) @ 500 KHz,BIX_C.htm,BIXC500K,2003-2004
Reactance (Ohms) @ 54 KHz,BIX_C.htm,BIXC054K,2003-2004
Reactance (Ohms) @ 582 KHz,BIX_C.htm,BIXC582K,2003-2004
Reactance (Ohms) @ 6 KHz,BIX_C.htm,BIXC006K,2003-2004
Reactance (Ohms) @ 60 KHz,BIX_C.htm,BIXC060K,2003-2004
Reactance (Ohms) @ 649 KHz,BIX_C.htm,BIXC649K,2003-2004
Reactance (Ohms) @ 67 KHz,BIX_C.htm,BIXC067K,2003-2004
Reactance (Ohms) @ 7 KHz,BIX_C.htm,BIXC007K,2003-2004
Reactance (Ohms) @ 723 KHz,BIX_C.htm,BIXC723K,2003-2004
Reactance (Ohms) @ 75 KHz,BIX_C.htm,BIXC075K,2003-2004
Reactance (Ohms) @ 8 KHz,BIX_C.htm,BIXC008K,2003-2004
Reactance (Ohms) @ 806 KHz,BIX_C.htm,BIXC806K,2003-2004
Reactance (Ohms) @ 83 KHz,BIX_C.htm,BIXC083K,2003-2004
Reactance (Ohms) @ 898 KHz,BIX_C.htm,BIXC898K,2003-2004
Reactance (Ohms) @ 9 KHz,BIX_C.htm,BIXC009K,2003-2004
Reactance (Ohms) @ 93 KHz,BIX_C.htm,BIXC093K,2003-2004
Reason hip fracture occurred 1st time,OSQ_D.htm,OSD050aa,2005-2006
Reason hip fracture occurred 2nd time,OSQ_D.htm,OSD050ab,2005-2006
Reason hip fracture occurred 3rd time,OSQ_D.htm,OSD050ac,2005-2006
Reason spine fracture occurred 1st time,OSQ_D.htm,OSD050ca,2005-2006
Reason spine fracture occurred 2nd time,OSQ_D.htm,OSD050cb,2005-2006
Reason spine fracture occurred 3rd time,OSQ_D.htm,OSD050cc,2005-2006
Reason spine fracture occurred 4th time,OSQ_D.htm,OSD050cd,2005-2006
Reason spine fracture occurred 5th time,OSQ_D.htm,OSD050ce,2005-2006
Reason spine fracture occurred 6th time,OSQ_D.htm,OSD050cf,2005-2006
Reason wrist fracture occurred 1st time,OSQ_D.htm,OSD050ba,2005-2006
Reason wrist fracture occurred 2nd time,OSQ_D.htm,OSD050bb,2005-2006
Reason wrist fracture occurred 3rd time,OSQ_D.htm,OSD050bc,2005-2006
Reason wrist fracture occurred 4th time,OSQ_D.htm,OSD050bd,2005-2006
Reason wrist fracture occurred 5th time,OSQ_D.htm,OSD050be,2005-2006
Reason wrist fracture occurred 6th time,OSQ_D.htm,OSD050bf,2005-2006
Reason wrist fracture occurred 7th time,OSQ_D.htm,OSD050bg,2005-2006
Receive Special Ed or Early Intervention,PFQ_C.htm,PFQ041,2003-2004
Received dialysis in past 12 months,KIQ_U_C.htm,KIQ025,2003-2004
Recency of fear or out of the blue,CIQPAN_C.htm,CIQP49,2003-2004
Recency of period of WTA,CIQGAD_C.htm,CIQG23,2003-2004
Recovery 1 diastolic BP (mm Hg),CVX_C.htm,CVDR1DI,2003-2004
Recovery 1 heart rate (per min),CVX_C.htm,CVDR1HR,2003-2004
Recovery 1 systolic BP (mm Hg),CVX_C.htm,CVDR1SY,2003-2004
Recovery 2 diastolic BP (mm Hg),CVX_C.htm,CVDR2DI,2003-2004
Recovery 2 heart rate (per min),CVX_C.htm,CVDR2HR,2003-2004
Recovery 2 systolic BP (mm Hg),CVX_C.htm,CVDR2SY,2003-2004
Recovery 3 diastolic BP (mm Hg),CVX_C.htm,CVDR3DI,2003-2004
Recovery 3 heart rate (per min),CVX_C.htm,CVDR3HR,2003-2004
Recovery 3 systolic BP (mm Hg),CVX_C.htm,CVDR3SY,2003-2004
Recumbent Length (cm),BMX_C.htm,BMXRECUM,2003-2004
Recumbent Length Comment,BMX_C.htm,BMIRECUM,2003-2004
Red blood cell count (million cells/uL),CBC_D.htm,LBXRBCSI,2005-2006
Red cell distribution width (%),CBC_D.htm,LBXRDW,2005-2006
Referral Status Code,OHXREF_C.htm,OHASCST5,2003-2004
Regular milk use 5 times per week,DBQ_D.htm,DBQ229,2005-2006
"Regular, light or ultralite BensonHedges",SMQ_D.htm,SMQ666B,2005-2006
"Regular, light or ultralite Camels",SMQ_D.htm,SMQ666C,2005-2006
"Regular, light or ultralite Kools",SMQ_D.htm,SMQ666K,2005-2006
"Regular, light or ultralite Marlboro",SMQ_D.htm,SMQ666M,2005-2006
"Regular, light or ultralite Salem",SMQ_D.htm,SMQ666S,2005-2006
"Regular, light or ultralite Winston",SMQ_D.htm,SMQ666W,2005-2006
"Regular, light or ultralite other brand",SMQ_D.htm,SMQ666O,2005-2006
Rehabilitation facility,HUQ_C.htm,HUQ088c,2003-2004
Remember age when attack occurred?,CIQPAN_C.htm,CIQP17,2003-2004
Remember age when first SED?,CIQDEP_C.htm,CIQD110,2003-2004
Remember age when first WTA?,CIQGAD_C.htm,CIQG19,2003-2004
Removable complete/partial mand. denture,OHXREF_C.htm,OHQ430,2003-2004
Removable complete/partial max denture,OHXREF_C.htm,OHQ410,2003-2004
Require special healthcare equipment,PFQ_C.htm,PFQ090,2003-2004
Resistance (Ohms) @  649 KHz,BIX_C.htm,BIXS649K,2003-2004
Resistance (Ohms) @ 1 MHz,BIX_C.htm,BIXS1M,2003-2004
Resistance (Ohms) @ 10 KHz,BIX_C.htm,BIXS010K,2003-2004
Resistance (Ohms) @ 100 KHz,BIX_C.htm,BIXS100K,2003-2004
Resistance (Ohms) @ 11 KHz,BIX_C.htm,BIXS011K,2003-2004
Resistance (Ohms) @ 115 KHz,BIX_C.htm,BIXS115K,2003-2004
Resistance (Ohms) @ 12 KHz,BIX_C.htm,BIXS012K,2003-2004
Resistance (Ohms) @ 128 KHz,BIX_C.htm,BIXS128K,2003-2004
Resistance (Ohms) @ 13 KHz,BIX_C.htm,BIXS013K,2003-2004
Resistance (Ohms) @ 14 KHz,BIX_C.htm,BIXS014K,2003-2004
Resistance (Ohms) @ 143 KHz,BIX_C.htm,BIXS143K,2003-2004
Resistance (Ohms) @ 15 KHz,BIX_C.htm,BIXS015K,2003-2004
Resistance (Ohms) @ 159 KHz,BIX_C.htm,BIXS159K,2003-2004
Resistance (Ohms) @ 16 KHz,BIX_C.htm,BIXS016K,2003-2004
Resistance (Ohms) @ 177 KHz,BIX_C.htm,BIXS177K,2003-2004
Resistance (Ohms) @ 18 KHz,BIX_C.htm,BIXS018K,2003-2004
Resistance (Ohms) @ 20 KHz,BIX_C.htm,BIXS020K,2003-2004
Resistance (Ohms) @ 200 KHz,BIX_C.htm,BIXS200K,2003-2004
Resistance (Ohms) @ 220 KHz,BIX_C.htm,BIXS220K,2003-2004
Resistance (Ohms) @ 23 KHz,BIX_C.htm,BIXS023K,2003-2004
Resistance (Ohms) @ 245 KHz,BIX_C.htm,BIXS245K,2003-2004
Resistance (Ohms) @ 25 KHz,BIX_C.htm,BIXS025K,2003-2004
Resistance (Ohms) @ 273 KHz,BIX_C.htm,BIXS273K,2003-2004
Resistance (Ohms) @ 28 KHz,BIX_C.htm,BIXS028K,2003-2004
